title,url,platform,content_type
The Dark Knight,https://www.justwatch.com/in/movie/the-dark-knight,JioHotstar,movie
Sinners,https://www.justwatch.com/in/movie/sinners-2025,JioHotstar,movie
The RajaSaab,https://www.justwatch.com/in/movie/the-raja-saab,JioHotstar,movie
The Matrix,https://www.justwatch.com/in/movie/the-matrix,JioHotstar,movie
Shutter Island,https://www.justwatch.com/in/movie/shutter-island,JioHotstar,movie
Ford v Ferrari,https://www.justwatch.com/in/movie/ford-v-ferrari,JioHotstar,movie
The Avengers,https://www.justwatch.com/in/movie/the-avengers,JioHotstar,movie
Marco,https://www.justwatch.com/in/movie/marco-2024,JioHotstar,movie
Dead Poets Society,https://www.justwatch.com/in/movie/dead-poets-society,JioHotstar,movie
Blade Runner 2049,https://www.justwatch.com/in/movie/blade-runner-2049,JioHotstar,movie
About Time,https://www.justwatch.com/in/movie/about-time,JioHotstar,movie
Avatar,https://www.justwatch.com/in/movie/avatar,JioHotstar,movie
Sarkar,https://www.justwatch.com/in/movie/sarkar-2018,JioHotstar,movie
Catch Me If You Can,https://www.justwatch.com/in/movie/catch-me-if-you-can,JioHotstar,movie
Drishyam,https://www.justwatch.com/in/movie/drishyam,JioHotstar,movie
Train to Busan,https://www.justwatch.com/in/movie/train-to-busan,JioHotstar,movie
Vivah,https://www.justwatch.com/in/movie/vivah,JioHotstar,movie
Top Gun: Maverick,https://www.justwatch.com/in/movie/top-gun-maverick,JioHotstar,movie
Touch,https://www.justwatch.com/in/movie/touch-0,JioHotstar,movie
Kabir Singh,https://www.justwatch.com/in/movie/kabir-singh,JioHotstar,movie
Mermaid,https://www.justwatch.com/in/movie/mermaid,JioHotstar,movie
Kill,https://www.justwatch.com/in/movie/kill-2024,JioHotstar,movie
Dev.D,https://www.justwatch.com/in/movie/dev-d,JioHotstar,movie
Get Out,https://www.justwatch.com/in/movie/get-out,JioHotstar,movie
Speak No Evil,https://www.justwatch.com/in/movie/speak-no-evil-2024,JioHotstar,movie
The Conjuring: Last Rites,https://www.justwatch.com/in/movie/the-conjuring-last-rites,JioHotstar,movie
The Monkey,https://www.justwatch.com/in/movie/the-monkey,JioHotstar,movie
Inside Man,https://www.justwatch.com/in/movie/inside-man,JioHotstar,movie
Captain America: Civil War,https://www.justwatch.com/in/movie/captain-america-civil-war,JioHotstar,movie
Zootopia 2,https://www.justwatch.com/in/movie/zootopia-2,JioHotstar,movie
The Martian,https://www.justwatch.com/in/movie/the-martian,JioHotstar,movie
The Conjuring,https://www.justwatch.com/in/movie/the-conjuring,JioHotstar,movie
Bang My Box: The Robin Byrd Story,https://www.justwatch.com/in/movie/bang-my-box-the-robin-byrd-story,JioHotstar,movie
The Amazing Spider-Man 2,https://www.justwatch.com/in/movie/the-amazing-spider-man-2,JioHotstar,movie
Tamasha,https://www.justwatch.com/in/movie/tamasha,JioHotstar,movie
Avatar: The Way of Water,https://www.justwatch.com/in/movie/avatar-2,JioHotstar,movie
Sathi Leelavathi,https://www.justwatch.com/in/movie/sathi-leelavathi-2025,JioHotstar,movie
Nosferatu,https://www.justwatch.com/in/movie/nosferatu-2023,JioHotstar,movie
Bāhubali 2: The Conclusion,https://www.justwatch.com/in/movie/baahubali-2-the-conclusion,JioHotstar,movie
Raid,https://www.justwatch.com/in/movie/raid,JioHotstar,movie
10 Things I Hate About You,https://www.justwatch.com/in/movie/10-things-i-hate-about-you,JioHotstar,movie
Mario,https://www.justwatch.com/in/movie/mario-2025,JioHotstar,movie
Ratsasan,https://www.justwatch.com/in/movie/ratsasan,JioHotstar,movie
A Quiet Place,https://www.justwatch.com/in/movie/a-quiet-place,JioHotstar,movie
Liger,https://www.justwatch.com/in/movie/liger,JioHotstar,movie
Hum Saath Saath Hain,https://www.justwatch.com/in/movie/hum-saath-saath-hain,JioHotstar,movie
Zack Snyder's Justice League,https://www.justwatch.com/in/movie/zack-snyders-justice-league,JioHotstar,movie
(500) Days of Summer,https://www.justwatch.com/in/movie/500-days-of-summer,JioHotstar,movie
Vaazha,https://www.justwatch.com/in/movie/vaazha,JioHotstar,movie
Lokah Chapter 1: Chandra,https://www.justwatch.com/in/movie/lokah-chapter-one-chandra,JioHotstar,movie
Mangalavaaram,https://www.justwatch.com/in/movie/mangalavaram,JioHotstar,movie
Avengers: Endgame,https://www.justwatch.com/in/movie/avengers-endgame,JioHotstar,movie
Maleficent,https://www.justwatch.com/in/movie/maleficent,JioHotstar,movie
Ransomed,https://www.justwatch.com/in/movie/ransomed,JioHotstar,movie
Predator: Badlands,https://www.justwatch.com/in/movie/predator-badlands,JioHotstar,movie
Toy Story 4,https://www.justwatch.com/in/movie/toy-story-4,JioHotstar,movie
Schindler's List,https://www.justwatch.com/in/movie/schindlers-list,JioHotstar,movie
Sister Midnight,https://www.justwatch.com/in/movie/sister-midnight,JioHotstar,movie
Latency,https://www.justwatch.com/in/movie/latency,JioHotstar,movie
Batman v Superman: Dawn of Justice,https://www.justwatch.com/in/movie/batman-v-superman-dawn-of-justice,JioHotstar,movie
Deadpool,https://www.justwatch.com/in/movie/deadpool,JioHotstar,movie
